agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2020-11-15 00:00,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:15,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:30,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:45,EST,250,P,2.79,P
USGS,02085070,2020-11-15 01:00,EST,247,P,2.78,P
USGS,02085070,2020-11-15 01:15,EST,247,P,2.78,P
USGS,02085070,2020-11-15 01:30,EST,244,P,2.77,P
USGS,02085070,2020-11-15 01:45,EST,244,P,2.77,P
USGS,02085070,2020-11-15 02:00,EST,244,P,2.77,P
USGS,02085070,2020-11-15 02:15,EST,241,P,2.76,P
USGS,02085070,2020-11-15 02:30,EST,236,P,2.74,P
USGS,02085070,2020-11-15 02:45,EST,238,P,2.75,P
USGS,02085070,2020-11-15 03:00,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:15,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:30,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:45,EST,233,P,2.73,P
USGS,02085070,2020-11-15 04:00,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:15,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:30,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:45,EST,230,P,2.72,P
USGS,02085070,2020-11-15 05:00,EST,227,P,2.71,P
USGS,02085070,2020-11-15 05:15,EST,227,P,2.71,P
USGS,02085070,2020-11-15 05:30,EST,225,P,2.70,P
USGS,02085070,2020-11-15 05:45,EST,225,P,2.70,P
USGS,02085070,2020-11-15 06:00,EST,222,P,2.69,P
USGS,02085070,2020-11-15 06:15,EST,225,P,2.70,P
USGS,02085070,2020-11-15 06:30,EST,222,P,2.69,P
USGS,02085070,2020-11-15 06:45,EST,219,P,2.68,P
USGS,02085070,2020-11-15 07:00,EST,219,P,2.68,P
USGS,02085070,2020-11-15 07:15,EST,217,P,2.67,P
USGS,02085070,2020-11-15 07:30,EST,217,P,2.67,P
USGS,02085070,2020-11-15 07:45,EST,217,P,2.67,P
USGS,02085070,2020-11-15 08:00,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:15,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:30,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:45,EST,212,P,2.65,P
USGS,02085070,2020-11-15 09:00,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:15,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:30,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:45,EST,209,P,2.64,P
USGS,02085070,2020-11-15 10:00,EST,209,P,2.64,P
USGS,02085070,2020-11-15 10:15,EST,206,P,2.63,P
USGS,02085070,2020-11-15 10:30,EST,206,P,2.63,P
USGS,02085070,2020-11-15 10:45,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:00,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:15,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:30,EST,201,P,2.61,P
USGS,02085070,2020-11-15 11:45,EST,204,P,2.62,P
